state,date,admissions
MN,8/28/2023,0
AS,8/27/2023,0
MN,8/27/2023,0
NV,8/27/2023,0
MA,8/26/2023,3
MA,8/25/2023,2
MN,8/24/2023,0
NM,8/23/2023,0
NH,8/22/2023,0
NM,8/21/2023,0
AS,8/20/2023,0
ME,8/20/2023,0
MS,8/20/2023,5
ID,8/19/2023,1
MA,8/18/2023,3
MA,8/17/2023,1
NM,8/15/2023,1
NM,8/11/2023,1
NM,8/9/2023,0
WV,8/9/2023,0
SD,8/8/2023,0
AS,8/7/2023,0
NV,8/7/2023,2
SD,8/6/2023,0
IA,8/4/2023,0
SD,8/4/2023,0
MA,8/3/2023,2
KS,8/2/2023,0
NM,7/30/2023,1
NM,7/29/2023,0
ND,7/28/2023,0
ND,7/21/2023,0
RI,7/21/2023,0
SD,7/20/2023,0
SD,7/18/2023,0
SD,7/16/2023,0
SD,7/15/2023,0
RI,7/14/2023,0
RI,7/13/2023,0
RI,7/12/2023,0
RI,7/11/2023,0
RI,7/10/2023,0
SD,7/9/2023,0
RI,6/29/2023,0
RI,6/27/2023,0
SD,6/26/2023,0
RI,6/25/2023,1
SD,6/23/2023,0
SD,6/20/2023,0
RI,6/14/2023,1
NH,6/10/2023,0
AS,6/9/2023,0
MT,6/9/2023,0
AK,6/8/2023,0
VI,6/8/2023,0
AS,6/7/2023,0
ND,6/7/2023,0
